Frame,Time (t),Distance (d),Max Curvature (Z),Min Curvature (Z)
80,8.0,2.16,-0.23887733350522306,-4.304119349736181
81,8.1,2.112,-0.2378356559477838,-4.227912392345763
82,8.200000000000001,2.064,-0.23677180498099254,-4.304501609308192
83,8.3,2.016,-0.23567216794442425,-4.4165108551607055
84,8.4,1.9679999999999997,-0.2345877300202288,-4.37448996894036
85,8.5,1.9199999999999997,-0.23352050096452415,-4.3001452694897875
86,8.6,1.8720000000000003,-0.23247251111265874,-4.405725664192761
87,8.700000000000001,1.8240000000000003,-0.23144578265659543,-4.38139610676749
88,8.8,1.7760000000000002,-0.23099906303020412,-4.237436673283846
89,8.9,1.7280000000000002,-0.23168849577115228,-4.348584528897508
90,9.0,1.6800000000000002,-0.23338603992606657,-4.412677425748768
91,9.1,1.6320000000000001,-0.2357835366948835,-4.3466413840792315
92,9.200000000000001,1.584,-0.23844842520311899,-4.426814370451446
93,9.3,1.536,-0.24037761374543457,-4.553172910313306
94,9.4,1.488,-0.2392972203385824,-4.524723977994858
