Time (t),Amplitude (h),Frequency (f)
-5.8558558558558556,-0.28059578217451114,10.790581197947539
-5.8358358358358355,-0.3024080465586935,10.800990850785482
-5.8158158158158155,-0.31226222936385034,10.811534731555298
-5.7957957957957955,-0.30966680838375565,10.822214495919443
-5.7757757757757755,-0.29462582237884155,10.833031817972113
-5.7557557557557555,-0.2676426934182505,10.843988390390962
-5.7357357357357355,-0.22970404330071093,10.855085924588646
-5.7157157157157155,-0.18224399253387485,10.866326150863973
-5.6956956956956954,-0.1270902173734893,10.877710818552696
-5.675675675675675,-0.06639378259660479,10.88924169617787
-5.655655655655655,-0.0025454348683185864,10.90092057159968
-5.635635635635635,0.06191839361294639,10.91274925216474
-5.615615615615615,0.12441618252627412,10.924729564854719
-5.595595595595595,0.1824245387195836,10.936863356434301
-5.575575575575575,0.23357990914379712,10.949152493598383
-5.555555555555555,0.27577469834359747,10.961598863118404
-5.535535535535535,0.3072438890142867,10.97420437198781
-5.515515515515515,0.326638613809174,10.986970947566487
-5.495495495495495,0.33308362157704835,10.999900537724194
-5.475475475475475,0.32621620283242536,11.012995110982818
-5.455455455455455,0.3062048635892671,11.026256656657402
-5.435435435435435,0.27374683548544376,11.039687184995909
-5.415415415415415,0.23004435193913572,11.053288727317586
-5.395395395395395,0.17676047147960092,11.067063336149822
-5.375375375375375,0.11595605629974032,11.081013085363487
-5.355355355355355,0.050010283111996894,11.095140070306588
-5.335335335335335,-0.018472256768772653,11.109446407936169
-5.315315315315315,-0.08676424853598766,11.123934236948383
-5.295295295295295,-0.15212409466409996,11.138605717906593
-5.275275275275275,-0.21190580062486733,11.153463033367434
-5.255255255255255,-0.26366590824280633,11.168508388004707
-5.235235235235235,-0.30526316248743157,11.183744008731018
-5.215215215215215,-0.33494685436783167,11.199172144817044
-5.195195195195195,-0.35143020431993754,11.21479506800829
-5.175175175175175,-0.35394572146318126,11.23061507263927
-5.155155155155155,-0.3422801726416611,11.246634475744951
-5.135135135135135,-0.31678759425364567,11.26285561716934
-5.115115115115115,-0.278379648259014,11.279280859671136
-5.095095095095095,-0.22849352715217364,11.295912589026258
-5.075075075075075,-0.16903851513273743,11.312753214127149
-5.055055055055055,-0.10232317798153967,11.329805167078742
-5.035035035035035,-0.030965947239299022,11.347070903290913
-5.015015015015015,0.04220744721195876,11.364552901567293
-4.994994994994995,0.11427568661427198,11.382253664190337
-4.974974974974975,0.1823383062535885,11.40017571700244
-4.954954954954955,0.24363223787656998,11.418321609482991
-4.934934934934935,0.295643776396994,11.436693914821209
-4.914914914914915,0.33621144168527123,11.45529522998461
-4.894894894894895,0.36361553513376116,11.47412817578293
-4.874874874874875,0.37665069076219965,11.493195396927351
-4.854854854854855,0.3746783731836291,11.512499562084884
-4.834834834834835,0.3576570548353747,11.532043363927691
-4.814814814814815,0.3261486822180227,11.551829519177264
-4.794794794794795,0.2813009810587135,11.571860768643166
-4.774774774774775,0.22480611610616377,11.592139877256283
-4.754754754754755,0.15883717412943762,11.612669634096285
-4.734734734734735,0.0859648402950513,11.633452852413239
-4.714714714714715,0.009057451850568055,11.654492369643044
-4.694694694694695,-0.06883169440897392,11.675791047416649
-4.674674674674675,-0.14458536183413764,11.697351771562698
-4.654654654654655,-0.2151469320771799,11.719177452103573
-4.634634634634635,-0.27764353253977636,11.741271023244483
-4.614614614614615,-0.32950278139208955,11.763635443355483
-4.594594594594595,-0.36855841471114414,11.786273694946214
-4.574574574574575,-0.39314046829312504,11.80918878463308
-4.554554554554555,-0.4021462716104985,11.832383743098738
