Scaled Time (t_scaled),Time (s),Mass (Solar Masses),Temperature (K)
0.1442885771543086,1.1904664561413698e+76,4.74692584622357,1.3021080921480511e-08
0.14629258517034066,1.2070007124766665e+76,4.743217308896611,1.303126159874868e-08
0.14829659318637273,1.2235349688119634e+76,4.739502963361171,1.3041474190388487e-08
0.1503006012024048,1.2400692251472602e+76,4.735782786822047,1.3051718871891547e-08
0.15230460921843686,1.2566034814825571e+76,4.732056756340557,1.3061995820131305e-08
0.15430861723446893,1.2731377378178538e+76,4.728324848833291,1.3072305213377212e-08
0.156312625250501,1.2896719941531506e+76,4.724587041070864,1.3082647231309073e-08
0.15831663326653306,1.3062062504884475e+76,4.720843309676627,1.3093022055031602e-08
0.16032064128256512,1.3227405068237442e+76,4.717093631125397,1.3103429867089135e-08
0.1623246492985972,1.3392747631590411e+76,4.713337981742145,1.3113870851480548e-08
0.16432865731462926,1.3558090194943379e+76,4.709576337700685,1.3124345193674354e-08
0.16633266533066132,1.3723432758296348e+76,4.705808675022344,1.3134853080624016e-08
0.16833667334669336,1.3888775321649313e+76,4.702034969574616,1.3145394700783411e-08
0.17034068136272543,1.4054117885002281e+76,4.6982551970698,1.315597024412256e-08
0.1723446893787575,1.421946044835525e+76,4.694469333063627,1.3166579902143481e-08
0.17434869739478956,1.4384803011708217e+76,4.690677352953868,1.3177223867896324e-08
0.17635270541082163,1.4550145575061185e+76,4.686879231978926,1.3187902335995668e-08
0.1783567134268537,1.4715488138414155e+76,4.683074945216416,1.3198615502637033e-08
0.18036072144288576,1.4880830701767123e+76,4.6792644675817225,1.320936356561363e-08
0.18236472945891782,1.504617326512009e+76,4.675447773826545,1.3220146724333307e-08
0.1843687374749499,1.5211515828473058e+76,4.6716248385374275,1.3230965179835737e-08
0.18637274549098196,1.5376858391826028e+76,4.667795636134266,1.3241819134809809e-08
0.18837675350701402,1.5542200955178996e+76,4.663960140868807,1.3252708793611263e-08
0.1903807615230461,1.5707543518531963e+76,4.660118326823118,1.3263634362280552e-08
0.19238476953907813,1.587288608188493e+76,4.656270167908051,1.3274596048560953e-08
0.1943887775551102,1.6038228645237898e+76,4.652415637861682,1.3285594061916893e-08
0.19639278557114226,1.6203571208590865e+76,4.6485547102477325,1.3296628613552544e-08
0.19839679358717432,1.6368913771943833e+76,4.644687358453977,1.3307699916430645e-08
0.2004008016032064,1.6534256335296803e+76,4.640813555690623,1.3318808185291597e-08
0.20240480961923846,1.669959889864977e+76,4.636933274988685,1.3329953636672782e-08
0.20440881763527052,1.6864941462002738e+76,4.633046489198328,1.3341136488928186e-08
0.2064128256513026,1.7030284025355706e+76,4.6291531709871965,1.335235696224825e-08
0.20841683366733466,1.7195626588708676e+76,4.625253292838722,1.3363615278679987e-08
0.21042084168336672,1.7360969152061644e+76,4.621346827050416,1.3374911662147394e-08
0.2124248496993988,1.752631171541461e+76,4.61743374573213,1.3386246338472148e-08
0.21442885771543085,1.769165427876758e+76,4.613514020804313,1.3397619535394535e-08
0.21643286573146292,1.785699684212055e+76,4.609587623996231,1.340903148259472e-08
0.21843687374749496,1.8022339405473513e+76,4.605654526844176,1.3420482411714269e-08
0.22044088176352702,1.818768196882648e+76,4.601714700689649,1.3431972556377977e-08
0.2224448897795591,1.835302453217945e+76,4.597768116677523,1.3443502152216016e-08
0.22444889779559116,1.851836709553242e+76,4.593814745754182,1.3455071436886356e-08
